id,Название,Цена со скидкой/Полная цена если скидки нет,Цена без скидки/Пусто если скидки нет,Бренд,Ссылка
 218640,"Напиток кофейный Nescafe Classic 3в1 20 пакетиков, 290г",259,319,NESCAFE,https://online.metro-cc.ru/products/20x145g-kofejnyj-napitok-nescafe-3v1-klassik
 230304,"Кофе Kimbo Aroma Gold Arabica в зернах, 1кг",2 799,,MONARCH,https://online.metro-cc.ru/products/kimbo-v-zernah-aroma-gold-arabica-1kg
 218639,"RIOBA Кофе в капсулах Dolce Gusto Capuccino 8 порций 16 капсул, 192г",419,,NESCAFE,https://online.metro-cc.ru/products/192g-kofe-v-kaps-rioba-dolce-gusto-cappuccino
 112992,"Кофе Origo Cafe Crema в зернах, 1кг",1 849,,EGOISTE,https://online.metro-cc.ru/products/art_624869
 101497,"Набор подарочный Monarch Original Кофе+чашка растворимый, 95г",499,,JARDIN,https://online.metro-cc.ru/products/95g-pn-kofechashka-monarch-original-rastvorimyy
 224714,"Кофе Carraro Arabica 100% в зернах, 500г",1 269,,MONARCH,https://online.metro-cc.ru/products/v-zernah-carraro-arabica-100-500-g
 534998,"Кофе Monarch Milligrano растворимый с молотым, 90г",329,349,ЖОКЕЙ,https://online.metro-cc.ru/products/kofe-monarch-milligrano-rastvorimyy-s-molotym-90g
 666412,"Кофе Julius Meinl Президент в зернах, 500г",919,,CARTE NOIRE,https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-president-500g
 232416,"Кофе Monarch Original растворимый, 210г",589,,ЖОКЕЙ,https://online.metro-cc.ru/products/kofe-monarch-original-rastvorimyy-210g
 230025,"aro Кофе растворимый сублимированный, 900г",1 639,,ILLY,https://online.metro-cc.ru/products/aro-sublimirovannyj-900g
 637206,"Кофе Lavazza Expert Gusto Forte в зернах, 1кг",1 709,,L'OR,https://online.metro-cc.ru/products/1kg-kofe-lavazza-expert-gusto-forte-v-zernah
 226342,"Кофе Kimbo Intenso в зернах, 1кг",1 659,,LEBO,https://online.metro-cc.ru/products/kimbo-intenso-1kg
 230301,"Кофе Egoiste Noir в зернах, 250г",469,609,MONARCH,https://online.metro-cc.ru/products/egoiste-naturalnyj-zharenyj-v-zernah-noir-250g
 407891,"Кофе Jardin Colombia Supremo натуральный жареный в зернах, 1кг",2 309,,EGOISTE,https://online.metro-cc.ru/products/jardin-v-zernah-naturalnyj-zharenyj-colombia-supremo-1kg
 101496,"Кофе Origo Grande Barista в зернах, 1кг",2 499,,JARDIN,https://online.metro-cc.ru/products/art_624874
 459905,"Кофе Egoiste Captain в зернах, 1кг",2 519,,ЧЕРНАЯ КАРТА,https://online.metro-cc.ru/products/1kg-kofe-egoiste-captain-v-zernah
 287770,"Кофе Jacobs Millicano молотый в растворимом, 75г",229,239,RIOBA,https://online.metro-cc.ru/products/jacobs-monarch-molotyj-millicano-75g
 448263,"Кофе Dallmayr Espresso d`Oro в зернах, 1кг",2 299,,JACOBS,https://online.metro-cc.ru/products/art_44940
 59570,"Кофе Egoiste Velvet в зернах, 200г",449,549,ILLY,https://online.metro-cc.ru/products/egoiste-velvet-200-g
 201559,"Кофе Nescafe Gold растворимый, 190г",879,,JACOBS,https://online.metro-cc.ru/products/nescafe-sublimirovannyj-gold-190g
 104612,"Кофе Monarch Gold растворимый, 95г",449,,JULIUS MEINL,https://online.metro-cc.ru/products/95g-kofe-monarch-gold-rastvorimyy-st
 226345,"Кофе Жокей Триумф растворимый сублимированный, 150г",249,297,LEBO,https://online.metro-cc.ru/products/zhokej-sublimirovannyj-triumf-150g
 44332,"Кофе Dallmayr Ethiopia в зернах, 500г",1 359,,EGOISTE,https://online.metro-cc.ru/products/molotyj-dallmayr-efiopiya-500g
 624874,"Кофе Illy средней обжарки в зернах, 250г",1 090,1 499,ORIGO,https://online.metro-cc.ru/products/v-zernah-illy-srednej-obzharki-250g
 43053,"Кофе Bushido Sensei молотый, 227г",739,,LAVAZZA,https://online.metro-cc.ru/products/art_59002
 439335,"Кофе в капсулах Jardin Ristretto Intense&Full Bodied для кофемашин Nespresso 10шт, 50г",279,409,FRESCO,https://online.metro-cc.ru/products/10h5g-jardin-ristretto
 232417,"Кофе Julius Meinl Юбилейный в зернах, 500г",969,,JARDIN,https://online.metro-cc.ru/products/julius-meinl-v-zernah-naturalnyj-zharenyj-jubileum-500g
 206309,"Кофе Poetti Daily Arabica в зернах, 1кг",1 909,,ORIGO,https://online.metro-cc.ru/products/1kg-kofe-poetti-daily-arabica-v-zernah
 226337,"Кофе Жокей Ирландские сливки молотый, 150г",309,,CARTE NOIRE,https://online.metro-cc.ru/products/150g-zhokej-irlandskie-slivki-mol
 423210,"Кофе Lavazza Qualita Rossa молотый, 250г",559,,FRESCO,https://online.metro-cc.ru/products/lavazza-rossa-250g
 125674,"Кофе Lebo Classic Extra молотый для турки, 100г",129,140,LEBO CLASSIC,https://online.metro-cc.ru/products/100g-lebo-extra-dlya-turki
