id,Название,Цена со скидкой,Цена без скидки,Бренд,Ссылка
 226521,"Кофе Жокей Gold растворимый, 95г",279,,MACCOFFEE,https://online.metro-cc.ru/products/95g-kofe-zhokey-gold-rastvorimyy-stb
 100815,"Кофе Jacobs Day&Night сублимированный без кофеина, 95г",519,,JULIUS MEINL,https://online.metro-cc.ru/products/kofe-jacobs-dayampnight-sublimirovannyy-bez-kofeina-95g
 33501,"Кофе Tchibo Gold selection растворимый, 150г",529,,NESCAFE,https://online.metro-cc.ru/products/150g-kofe-tchibo-gold-selection-rastvorimyy
 228242,"Кофе Tchibo Gold selection растворимый, 95г",399,,ЖОКЕЙ,https://online.metro-cc.ru/products/95g-kofe-tchibo-gold-selection-rastvorimyy-stb
 100813,"Кофе Carte Noire Original растворимый сублимированный, 75г",690,,JULIUS MEINL,https://online.metro-cc.ru/products/art_426443
 228241,"Кофе Jardin Gold растворимый, 240г",859,,ЖОКЕЙ,https://online.metro-cc.ru/products/240g-kofe-jardin-gold-rastvorimyy
 218711,"Кофе Жокей По-восточному молотый, 450г",679,,POETTI,https://online.metro-cc.ru/products/450g-zhokej-po-vostochnomu-mol
 226335,"Кофе Жокей Классический молотый, 450г",679,,CARTE NOIRE,https://online.metro-cc.ru/products/450g-zhokej-klassicheskij-mol
 228234,"Кофе Jacobs Hazelnut с ароматом лесного ореха растворимый, 95г",509,,JARDIN,https://online.metro-cc.ru/products/95g-jacobs-s-aromatom-oreha
 226934,"Кофе Fresco Arabica solo молотый для чашек и турок, 250г",489,,ITALCO,https://online.metro-cc.ru/products/kofe-fresco-arabica-solo-molotyy-dlya-chashek-i-turok-250g
 228232,"Кофе Carte Noire растворимый (1.8г х 26шт), 47г",629,,PIAZZA DEL CAFFE,https://online.metro-cc.ru/products/rastvorimyj-carte-noire-v-paketikah-18g-26
 215436,"Кофе в капсулах Julius Meinl Espresso Crema Bio для кофемашин Nespresso 10шт, 56г",619,,LEBO CLASSIC,https://online.metro-cc.ru/products/julius-meinl-espresso-krema-10sht
 125674,"Кофе Jacobs Barista Editions Crema молотый, 230г",629,,LEBO CLASSIC,https://online.metro-cc.ru/products/230g-kofe-jacobs-barista-editions-crema-molotyy
 229165,"Кофе Nescafe Classic растворимый, 190г",509,,TCHIBO,https://online.metro-cc.ru/products/190g-kofe-nescafe-classic-rastvorimyy-stekl-banka
